Etunimi;Lukumäärä
Vilppu;433
Sigurd;432
Mainio;432
Sune;424
Hemming;419
Akusti;417
Jonny;417
Joseph;416
Mårten;416
Mertsi;415
Karl-Johan;413
Hemminki;413
Per-Erik;413
Josef;412
Kusti;408
Karim;407
Folke;406
Urmas;406
Knut;404
Ola;403
Maxim;399
Igor;399
Sixten;398
Aake;395
Edwin;394
Mikke;393
Timonpoika;393
Berndt;391
Jalmar;386
Aappo;385
Joa;385
Erkko;383
Hussein;382
Joshua;381
George;378
Nino;377
Pietu;374
Bernt;374
Pirkka;373
Herkko;373
Augusti;372
Ohto;371
Amir;369
Jukanpoika;367
Lars-Erik;366
Ville-Petteri;365
Carl-Johan;363
Valio;363
Alvin;361
Werneri;360
Pavel;360
Sture;358
Jack;358
Aarto;353
Abraham;352
Elo;352
Heikinpoika;350
Van;349
Kuisma;349
Matteus;347
Pekanpoika;346
Jason;343
Petro;343
Ahmad;343
René;343
Jarinpoika;342
Matthew;340
Ernesti;339
Pete;339
Rickard;339
Karo;338
Mitja;337
Nikodemus;336
Kristofer;336
Ingvar;334
Kennet;333
Maximus;332
Benny;331
Roman;331
Eeti;328
Dominic;327
Aate;327
Leonardo;324
Staffan;324
Alexis;323
Nikita;322
Maurits;322
Immo;322
Esa-Pekka;321
Denis;321
Sigfrid;319
Muhammad;318
Konrad;318
Ingvald;316
Totti;312
Jetro;311
Alexandre;311
Yusuf;308
Carlos;308
Jaani;308
Sören;306
Ian;306
Ville-Matti;304
Hannu-Pekka;303
Levi;303
Jari-Matti;302
Tore;302
Olle;301
Manne;301
Leopold;298
Hemmi;298
Rurik;295
Samir;294
Nikke;293
Veini;292
Fjalar;290
Elof;289
Ari-Matti;289
Hannunpoika;289
Masi;288
Edgar;288
Alexi;288
Dick;288
Mustafa;288
Karinpoika;286
Juho-Pekka;286
Uno;285
Mihail;283
Wäinö;282
Raul;280
Eskil;279
Raymond;279
Ismail;278
Said;276
Ted;276
Conny;274
Selim;274
Jake;273
Adiel;273
Elvis;272
Huugo;272
Ronnie;269
Kare;269
Rony;268
Alec;266
Timo-Pekka;266
Amadeus;264
Gerhard;264
Peik;264
Oleg;264
Arttur;264
Thor;263
Caj;263
Sigvard;263
Pessi;261
Amin;261
Kristo;260
Rauni;259
Renne;259
Mahamed;259
Jermu;259
Maksim;258
Sammeli;258
Isac;257
Milton;256
Terno;256
Frej;256
Jasse;255
Wilmer;255
Emmanuel;255
Kuutti;255
Alan;254
Vidar;254
Joe;253
Miio;252
Jaska;252
Mario;251
Mohamud;250
Junior;250
Patric;250
Glenn;250
Emilio;248
Greger;248
Jasperi;248
Feliks;247
Ville-Valtteri;246
Roberto;246
Ernest;245
Jussinpoika;244
Jone;244
Jali;243
Atro;242
Aleks;241
Kerkko;241
Uula;241
Sven-Erik;239
Ronald;238
Tristan;238
Eddie;238
Mike;237
Ami;236
Markunpoika;236
Olli-Matti;234
Nemo;233
Osman;233
Andre;232
Lee;232
Michel;231
Dmitri;230
Marc;230
Ture;229
Alvi;229
Mikanpoika;228
Melvin;228
Matthias;228
Myrsky;228
Karl-Gustav;224
Jaakoppi;224
Luis;222
Saul;221
Elja;220
Valeri;220
Rico;220
Rickhard;220
Raafael;218
Jarko;217
Aati;217
Jannenpoika;216
Ariel;215
Sergey;215
Abdulkadir;215
Fred;215
Villehard;215
Jeremy;214
Louis;212
Arinpoika;211
Gottfrid;209
Ken;208
Miguel;208
Abel;208
Jan-Peter;207
Algot;206
Jani-Petteri;206
Simo-Pekka;205
Hiski;205
Aaretti;204
Minh;203
Jan-Mikael;203
Mikhail;202
Johann;201
Hasan;200
Viggo;200
Kirill;200
Henning;200
Miiko;197
Abdullah;197
Ron;196
Saska;196
Per-Olof;194
Ryan;193
Morris;193
Jusa;192
Remu;192
Mehmet;190
Clas;190
Ricardo;189
Hamza;188
Kari-Matti;187
Abdul;186
Alberto;186
Nils-Erik;185
Ilo;185
Andrey;184
Juan;184
Singh;184
Jaakonpoika;184
Jan-Olof;183
Auno;183
Kauri;182
Nathan;182
Sami-Pekka;182
Alexei;182
Timothy;181
Alpi;181
Eduard;181
Ahto;181
Waltter;180
Luke;180
Micke;180
Titus;179
Elian;179
Eikka;178
Gideon;178
Mitro;178
Harrinpoika;177
Thanh;177
Petrinpoika;177
Sami-Petteri;177
Khalid;174
Bo-Erik;174
Tyko;173
Jyry;172
Finn;171
Matteo;170
Jerker;170
Steven;170
Miklas;169
Vieno;168
Rabbe;168
Leino;167
Miiro;166
Sakke;166
Juho-Matti;166
Curt;165
Francis;165
Rufus;164
Tuisku;163
Niko-Petteri;163
Sean;163
Alessandro;163
Rikard;163
Jirka;162
Carl-Erik;162
Filemon;162
Kaj-Erik;162
Andres;161
Risto-Matti;161
Claes;161
Jero;161
Jaan;161
Antoni;160
Anttu;160
Alexey;159
Jaakkima;159
Jaakob;159
Colin;159
Raoul;159
Milan;159
Esa-Matti;159
Aale;159
Asla;158
Carl-Gustav;158
Jani-Pekka;158
Carlo;158
Tahvo;157
Juhan;156
Alpertti;156
Verne;156
Jeremi;156
Markonpoika;156
Ludwig;156
Silvo;155
Ollinpoika;155
Malakias;155
Valle;154
Timoteus;154
Efraim;153
Severin;153
Ano;153
Hermann;152
Jan-Anders;152
Valentino;152
Lenny;152
Robertino;151
Juha-Petteri;151
Daniil;150
Egil;150
Hans-Erik;150
Eliot;150
Valtti;149
Simeoni;149
Franz;149
Niilas;148
Jaajo;148
Josua;148
Aaprami;147
Vikke;147
Jaako;147
Jousia;147
Hampus;146
Pär;146
Dmitry;146
Sanfrid;146
Brian;146
Anas;146
Kaspar;145
Harto;145
Vinski;145
Ray;145
Abbas;145
Artem;145
Jan-Henrik;144
Misa;144
Kunto;144
Anatoli;144
Eeka;144
Villenpoika;144
Liinus;144
Deniz;143
Alejandro;143
Lionel;143
Juhamatti;143
José;143
Muhammed;143
Jiro;142
Charlie;142
Matti-Pekka;142
Stephen;141
Karlo;140
Janne-Pekka;140
Fridolf;140
Joacim;140
Eirik;139
Emre;139
Caspian;139
Jamal;139
Ragnvald;139
Vilpas;138
Erkinpoika;138
Måns;138
Chris;137
Sammy;137
Andrea;137
Christofer;137
Emerik;136
Pehr;136
Daavid;136
Morgan;136
Juha-Petri;136
Miku;135
Damien;135
Isaac;135
Brynolf;134
Vesanpoika;134
Vadim;133
Aksu;133
Engelbert;133
Pedro;132
Caius;131
Dylan;131
Lemmy;131
Jouninpoika;131
Juska;130
Roi;130
Ville-Markus;130
Angelo;129
Marek;128
Yasin;128
Zakaria;128
Israel;128
Jeri;128
Hendrik;127
Ethan;127
Riku-Pekka;127
Vili-Valtteri;127
Moritz;127
Armo;127
Ristonpoika;127
Akilles;127
Saminpoika;127
Stephan;127
Thorvald;127
Oliwer;126
Tami;125
Jamiel;125
Pepe;125
Anto;125
Sven-Olof;125
Joeli;124
Mikko-Pekka;124
Weeti;124
Nikanor;123
Milko;123
Ilkanpoika;122
Francisco;122
Wilho;122
Keimo;122
Wilhelmi;122
Mahmoud;121
Jouka;121
Erling;121
Odin;121
Fernando;120
Aslan;120
Anh;120
Jooel;120
Toomas;120
Marcel;120
Eemu;119
Riku-Petteri;119
Adnan;119
Niku;119
Natanael;119
Mahdi;118
Emir;118
Claus;118
Rolle;118
Nathaniel;118
Jussi-Petteri;118
Atle;117
Pasinpoika;117
Eenokki;117
Volmar;117
Aito;117
Kosmo;116
Laurinpoika;116
Leonid;116
Kenny;116
Jakke;116
Eeronpoika;115
Dominik;115
Vladislav;115
Eki;114
Nicolai;114
Nelson;114
Ernesto;114
Arman;114
Mikki;113
Willem;113
Esanpoika;113
Tor-Erik;113
Jerome;113
Trygve;113
Volter;113
Ante;112
Pablo;112
Carl-Henrik;112
Evan;112
Dag;112
Emppu;111
Ale;111
Oswald;111
Reza;110
Melker;110
Scott;110
Hamid;110
Riki;109
Elijah;109
Nikolaus;109
Hasse;109
Kalle-Pekka;109
Ralph;108
Bilal;108
Reidar;108
Mikail;108
Ismael;108
Ernfrid;108
Sipi;107
Mooses;107
Östen;107
Justin;107
Antti-Juhani;107
Raikas;107
Martinpoika;107
Marlon;106
Marlo;106
Dante;106
Alexandros;106
Gilbert;105
Seponpoika;105
Diego;105
Mahad;105
Aki-Petteri;104
Stanislav;104
Leonel;104
Carl-Gustaf;104
Jussa;104
Joosef;104
Joska;104
Vitali;104
Ananias;104
Poika;103
Md.;103
Karl-Henrik;103
Semi;103
Mies;103
Roobert;103
Isidor;103
Enok;102
Jama;102
Aden;102
Jan-Kristian;102
Taimo;101
Damian;101
Vaito;101
Mohamad;101
Reeti;100
Ari-Jukka;100
Feodor;100
Ilppo;100
Remi;100
Ruuben;100
Tarvo;100
Ilyas;100
Anshelm;100
Veetu;99
Willy;99
Evgeny;99
Anthon;99
Mikaeli;98
Lars-Johan;98
Elton;98
Eero-Pekka;98
Petrik;98
Stig-Erik;98
Tuomaanpoika;98
Janinpoika;98
Juuse;98
Tito;97
Francesco;97
Joni-Petteri;97
Teronpoika;97
Wolfgang;97
Juhaninpoika;97
Wili;96
Walfrid;96
Vasili;96
Pierre;96
Sigvald;96
Salama;96
Jonah;96
Ilias;96
Can;96
Heinrich;96
Kiril;95
Frederick;95
Huuko;95
Launo;95
Nikolaos;95
Mehdi;95
Olli-Petteri;95
Jarmonpoika;94
Tapionpoika;94
Eduardo;94
Runo;94
Muhamed;94
Hoang;94
Rayan;94
Steve;94
Paolo;93
Renny;93
Muisto;93
Musa;93
Olov;93
Jordan;93
Antony;93
Abdifatah;93
Georgios;93
Edmund;92
Raphael;92
Rinaldo;92
Frederik;92
Donald;92
Jerri;92
Artonpoika;92
Volmari;92
Edvart;92
Nick;91
Timur;91
Nuuti;91
Aziz;91
Asarias;91
Olivier;91
Jani-Matti;91
Kenth;91
Khaled;91
Rudi;91
Erich;91
Crister;91
Philippe;91
Tuan;91
Malik;91
Lenne;90
Duc;90
Abram;90
Bastian;90
Jamie;90
Jokke;90
Seth;90
Pieti;90
Totte;90
Joni-Pekka;89
Willehard;89
Jan-Eric;89
Severus;89
Oma;89
Conrad;89
Ekku;88
Pentinpoika;88
Riko;88
Calle;88
Kian;88
Carolus;88
Peder;88
Junnu;88
Fritz;87
Per-Ole;87
Niiles;87
Iivar;87
Veli-Jussi;87
Karel;87
Fredric;86
Wihtori;86
Kumar;86
Farah;86
Thure;86
Abiel;86
Aram;86
Mahamud;86
Timmy;86
Alexandr;86
Pauno;86
Ukko-Pekka;86
Nicky;86
Valte;86
Bert;85
Kimmonpoika;85
Arho;85
Youssef;85
Friedrich;85
Sander;85
Harras;85
Cay;85
Mika-Petteri;85
Lorenz;85
Uuras;84
Winston;84
El;84
Enrique;84
Jan-Ole;84
Mateo;84
Cedric;84
Otto-Ville;84
Kaapro;83
Bashir;83
